X0,X1,X2,X3,X4,X5,X6,X7,X8,Y
C3,1.19,622.55,,89.31,7,1.98,0,0,15.55
C1,1.19,622.55,323.4,109.15,7.7,3,0,0,15.55
C1,0.88,463.05,291.06,99.23,5.67,4.4,0,0,15.55
C2,0.79,509.36,291.06,121.28,6.3,4.05,0,0,15.55
C1,0.89,507.15,385.39,121.28,7.7,2,0,0,20.84
C1,0.89,456.44,257.98,134.75,8.47,2.43,0,0,21.46
C2,0.73,557.86,385.39,121.28,5.67,4.84,0,0,20.71
C2,0.89,507.15,315.32,148.23,6.3,4.05,0,0,19.68
C3,1.04,646.8,323.4,147,7,2.42,0,0,19.5
C3,0.77,582.12,323.4,177.87,7.7,2.97,0,0,19.95
C2,0.95,711.48,264.6,119.07,8.47,3.6,0,0,19.34
C1,0.69,529.2,238.14,119.07,8.47,4.95,0,0,18.31
C2,0.67,741.13,318.5,177.87,6.93,1.62,0,0,17.05
C3,0.74,612.5,315.32,161.7,7,3.63,0,0,17.41
C1,0.9,741.13,385.39,145.53,6.93,4.84,0,0,16.95
C2,0.74,606.38,257.98,161.7,7.7,5,0,0,15.98
C2,0.87,700.7,415.03,161.7,6.3,1.8,0,0,28.52
C1,0.87,700.7,339.57,177.87,7.7,2.43,0,0,29.9
C2,0.71,630.63,377.3,119.07,5.67,3.6,0,0,29.63
C1,0.96,770.77,339.57,145.53,5.67,4.95,0,0,28.75
C2,0.75,654.89,374.85,148.23,6.3,2.2,0,0,24.77
C2,0.84,727.65,412.34,110.25,6.93,3.3,0,0,23.93
C1,0.75,661.5,458.15,148.23,6.3,3.96,0,0,24.77
C3,0.92,654.88,503.97,122.5,7.7,6.05,0,0,23.93
C1,0.67,830.06,242.55,218.3,2.84,1.98,0,0,6.07
C2,0.6,830.06,269.5,218.3,3.47,3.63,0,0,6.05
C1,0.74,555.66,198.45,220.5,3.47,3.96,0,0,6.01
C2,0.81,679.14,269.5,218.3,4.24,4.95,0,0,6.04
C3,0.64,639.45,242.55,178.6,3.47,1.98,0,0,6.37
C2,0.78,575.51,296.45,198.45,3.85,2.97,0,0,6.4
C2,0.7,859.7,242.55,198.45,3.85,4.4,0,0,6.37
C2,0.71,703.4,326.1,218.3,2.84,4.5,0,0,6.4
C3,0.76,595.35,323.4,178.6,3.85,2.42,0,0,6.85
C1,0.84,727.65,238.14,218.3,4.24,2.7,0,0,6.79
C1,0.68,661.5,,178.6,3.47,4.4,0,0,6.77
C2,0.62,661.5,264.6,198.45,3.47,4.05,0,0,6.81
C2,0.59,615.19,315.32,242.55,3.85,1.98,0,0,7.18
C3,0.8,683.55,257.98,266.8,2.84,2.97,0,0,7.1
C2,0.53,683.55,315.32,218.3,2.84,3.6,0,0,7.1
C2,0.66,683.55,286.65,218.3,3.85,6.05,0,0,7.1
C3,0.64,635.04,377.3,242.55,3.47,2.2,0,0,10.85
C3,0.52,635.04,377.3,242.55,3.47,3.63,0,0,10.54
C3,0.63,776.16,415.03,266.8,3.5,3.96,0,0,10.77
C1,0.63,948.64,415.03,198.45,3.47,4.05,0,0,10.56
C2,0.61,978.29,367.5,266.8,3.15,1.62,0,0,8.6
C2,0.61,727.65,363.83,198.45,2.84,2.97,0,0,8.49
C2,0.75,654.88,363.82,218.3,3.15,3.6,0,0,8.45
C3,0.5,800.42,363.83,218.3,4.24,4.05,0,0,8.5
C1,0.88,463.05,291.06,110.25,6.93,1.98,0.11,1.21,24.58
C2,0.88,565.95,355.74,99.23,6.93,2.97,0.11,1.21,24.63
